ID,Title,Description,Type,Component,Severity
CRA-0000,"**Bug Title:** NullPointerException in Authentication Component on User Login

**Description:** Duri","**Bug Title:** NullPointerException in Authentication Component on User Login

**Description:** During the login process, a NullPointerException is thrown when an unregistered user attempts to authenticate. The stack trace indicates that the issue arises in `AuthService.java` at line 54, specifically within the `validateUserCredentials()` method. The method attempts to access properties of a user object that is null, leading to a crash. 

**Stack Trace:**
```
java.lang.NullPointerException
    at com.example.auth.AuthService.validateUserCredentials(AuthService.java:54)
    at com.example.auth.AuthController.login(AuthController.java:27)
```",crash,Authentication,Critical
PER-0001,"**Bug Title:** User Management Component Experiences Significant Latency During User Creation

**Bug","**Bug Title:** User Management Component Experiences Significant Latency During User Creation

**Bug Description:** When trying to create a new user in the User Management component, it takes around 10-15 seconds to complete the operation, which is unusually slow. This delay occurs regardless of the user details entered and seems to affect all roles. During the lag, the application appears to freeze, and users may think it has crashed. This issue severely impacts the onboarding process and could frustrate administrators, making it crucial to address it immediately. I noticed the same delay when testing on different browsers and devices.",performance,User Management,High
UI-0002,"**Bug Title:** Dashboard Button Unresponsive and Layout Misalignment on Mobile View

**Description:*","**Bug Title:** Dashboard Button Unresponsive and Layout Misalignment on Mobile View

**Description:** In the Dashboard component, the ""Save"" button becomes unresponsive when viewed on mobile devices (iOS and Android). Additionally, the layout breaks, causing overlapping elements, particularly the navigation bar and the main content area. This issue seems to occur when the screen width is below 768px. 

**Steps to Reproduce:**
1. Open the Dashboard on a mobile device.
2. Attempt to click the ""Save"" button.
3. Observe that the button does not respond.
4. Check for layout misalignment of the navigation and content areas.

**Environment:** iOS 15.0, Android 11, Chrome 94, Safari 15.",ui,Dashboard,Medium
SEC-0003,"**Bug Title:** XSS Vulnerability in Reporting Component's User Input Fields

**Bug Description:** Th","**Bug Title:** XSS Vulnerability in Reporting Component's User Input Fields

**Bug Description:** The Reporting component allows users to input custom filters through text fields without proper sanitization, leading to a stored XSS vulnerability. When a user enters a script tag (e.g., `<script>alert('XSS')</script>`), it gets saved and executed when the report is viewed by other users. This issue can be exploited to inject malicious scripts, potentially affecting user sessions and data integrity.",security,Reporting,Low
INT-0004,"**Bug Title:** API Gateway Fails to Trigger Webhook on 500 Internal Server Error Response

**Descrip","**Bug Title:** API Gateway Fails to Trigger Webhook on 500 Internal Server Error Response

**Description:** When the API Gateway receives a 500 Internal Server Error from the downstream service, it does not invoke the configured webhook for error reporting. Instead, the following error is logged:

```
2023-10-01 14:32:12 ERROR [APIGateway] - Failed to process request: Downstream service error. Response: { ""status"": 500, ""message"": ""Internal Server Error"" }
```

As a result, critical integrations relying on webhook notifications are left unnotified, impacting system observability and incident response. This behavior is blocking the deployment of the new release.",integration,API Gateway,Critical
DAT-0005,"**Bug Title: Payment Processing Data Corruption After Migration**

**Description:** After we migrate","**Bug Title: Payment Processing Data Corruption After Migration**

**Description:** After we migrated the payment processing database to the new server, several transactions appear to be missing or incorrect. For example, payments processed on October 15th show up as $0.00, and others are duplicated. I noticed this issue when reviewing the transaction logs while preparing for the monthly report. It seems like some data didn’t transfer properly, leading to inconsistencies. This could cause serious issues with customer payments and trust, so we need to investigate the migration process to identify what went wrong and fix the corrupted records immediately.",data,Payment Processing,High
FEAT-0006,"**Bug Title: Notification Service Fails to Send Real-time Alerts for High-Priority Events**

**Descr","**Bug Title: Notification Service Fails to Send Real-time Alerts for High-Priority Events**

**Description:** The Notification Service is not sending real-time alerts for high-priority events as specified in the requirements. Users have reported delays of up to 15 minutes for alerts that should trigger immediately. This issue appears to stem from the event queue processing logic, where high-priority events are not being prioritized correctly in the RabbitMQ message broker. Additionally, the logs indicate that the notification worker is occasionally skipping high-priority messages. 

**Steps to Reproduce:**
1. Trigger a high-priority event in the application.
2. Monitor the Notification Service logs.
3. Observe the delay in alert delivery.

**Environment:** 
- Application Version: 2.3.1
- Notification Service Version: 1.4.5
- RabbitMQ Version: 3.8.9
- Deployment: Kubernetes Cluster (GKE)",feature,Notification Service,Medium
CRA-0007,"**Bug Title:** Search Component Crashes on Null Query Input

**Description:** The Search component c","**Bug Title:** Search Component Crashes on Null Query Input

**Description:** The Search component crashes with a NullPointerException when the user inputs a null value in the search field. This occurs in the `SearchController` class, specifically in the `executeSearch()` method, where the system attempts to access properties of the search query without checking for null. While the severity is low, this bug may hinder user experience during search functionality.",crash,Search,Low
PER-0008,"**Title:** Critical Latency Issue in Analytics Component During Data Aggregation

**Description:** T","**Title:** Critical Latency Issue in Analytics Component During Data Aggregation

**Description:** The Analytics component experiences significant latency (up to 15 seconds) when aggregating large datasets (over 10,000 records). Profiling indicates a bottleneck in the `aggregateData()` method within `AnalyticsService.java`, specifically at line 235 where `Stream.reduce()` is used inefficiently. The method is failing to utilize parallel processing effectively. 

Error Message: `java.util.concurrent.ExecutionException: java.lang.OutOfMemoryError: GC overhead limit exceeded`

Stack Trace:
```
at java.base/java.util.concurrent.FutureTask.report(FutureTask.java:122)
at java.base/java.util.concurrent.FutureTask.get(FutureTask.java:191)
at com.example.analytics.AnalyticsService.aggregateData(AnalyticsService.java:235)
```",performance,Analytics,Critical
UI-0009,"**Bug Title:** File Upload Button Not Responsive and Layout Misalignment on Chrome

**Bug Descriptio","**Bug Title:** File Upload Button Not Responsive and Layout Misalignment on Chrome

**Bug Description:** The ""Upload"" button in the File Upload component is not clickable when using Chrome (version 117.0.5938.62). Instead of being able to select files, the button appears grayed out, and the text overlaps with the surrounding elements, making it hard to read. Additionally, the entire layout shifts to the left side of the screen, causing the upload area to become partially hidden. This issue severely impacts user experience as users are unable to upload files, and the broken layout detracts from the overall design.",ui,File Upload,High
